"nome","naz","team","tempo.1","tempo.2","tempo.3","tempo.4","tempo.5","tempo.6","tempo.7","tempo.8","tempo.9","tempo.10","tempo.11","tempo.12","tempo.13","tempo.14","tempo.15","tempo.16","tempo.17","tempo.18","tempo.19","tempo.20","tempo.21"
"GATTO Oscar","ITA","CAN",1535,20330,36486,45012,63873,87960,106925,126251,143299,157984,179965,183889,196940,215058,236842,256444,273163,292472,297029,315562,331400
"GENIEZ Alexandre","FRA","FDJ",1560,20355,36489,45015,63832,87702,106667,124113,140170,154643,175540,179203,192254,209002,229187,246564,264191,281846,286094,303447,319294
"GESCHKE Simon","GER","GIA",1538,20333,36467,44993,63779,88508,107678,126571,143595,158205,179096,182933,196058,213330,234511,253839,270558,289422,293963,311035,326882
"GODOY Yonder","VEN","AND",1556,20351,36483,45009,64130,88266,107231,125006,142213,156888,178659,182697,195826,213477,234620,253698,271325,289531,294014,311803,327719
"GOOS Marc","NED","BEL",1543,20338,37039,45565,64696,88654,107619,125435,141873,156346,177490,181307,194358,211237,231638,249963,267590,285308,289701,307268,323115
"GRETSCH Patrick","GER","ALM",1540,20335,36469,44995,64387,88790,107755,126794,143920,158595,180576,184162,197213,214631,235774,255102,272729,291593,296028,313709,329547
"GUSEV Vladimir","RUS","KAT",1575,20370,36504,45030,63994,88273,107238,125817,143090,157563,178691,182473,195524,212649,233302,251945,269572,288125,292554,310435,326273
"HAAS Nathan","AUS","GRS",1839,20634,36768,45294,65104,89833,108797,128123,145002,159475,181456,185256,198385,215427,236713,256041,273668,292287,296773,314689,330536
"HANSEN Adam","AUS","LTB",1576,20371,36505,45031,64423,88707,107672,126711,143918,158391,179535,183468,196606,213591,233862,253464,271091,289440,293986,311562,327428
"HENAO GOMEZ Sebastian","COL","SKY",1517,20312,36446,44972,63782,87869,106834,125413,141432,155905,176802,180585,193636,210411,230993,248199,265826,283650,287815,305209,321056
"HEPBURN Michael","AUS","OGE",1647,20629,37571,46097,65848,90335,109470,128866,146207,160946,182927,186867,200003,218408,240141,259743,277370,296679,301320,319984,335900
"HERMANS Ben","BEL","BMC",1646,20441,36575,45101,64069,88509,107474,125649,142309,156919,178690,182609,195791,212833,233643,252971,270598,289065,293420,311507,327354
"HERRADA  Jos̩","ESP","MOV",1571,20366,36500,45026,63804,87722,106687,124152,140307,154780,175677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
